# M5 全连接组定稿源（唯一定稿源，可修改复现）——B1a 执行节点按《生物仿真M5实施清单》§2 构建。
"# 列：role, neuron_class, neurotransmitter, receptor, synapse_from, synapse_to, synapse_type,"
"#     g_max_ns, delay_ms, g_gap_ns, muscle_target, note"
# 行语义：
#   - 神经元行：role=<302 神经元名>，neuron_class=<sensory|inter|motor|pharyngeal>，
#     neurotransmitter=<ach|glut|gaba|dopamine|serotonin|other>（覆盖率 100%），
#     muscle_target=<body_fwd|body_back|head_left|head_right>（运动神经元→虚拟身体通道，可选）。
#   - 化学突触行：synapse_from + synapse_to + synapse_type=chem + neurotransmitter（突触前递质）
#     + receptor（§2.3 映射：ach/glut→ampa、gaba→gaba、dopamine/serotonin→mod、other→none）
#     + g_max_ns（初始权重占位，§6 校准）+ delay_ms。
#   - 缝隙连接行：synapse_from + synapse_to + synapse_type=gap + g_gap_ns（初始占位）+ delay_ms。
#   - 肌肉行：role=muscle_drive，synapse_from=<运动神经元>，synapse_to=<4 通道>，
#     synapse_type=muscle，g_max_ns=收缩增量 w 占位（M3/M4 定稿值：fwd 0.18/back 0.60/head 0.50）。
# 
# PROVENANCE（数据源与版本，诚实性记录）：
#   - PRIMARY: openworm/c302 仓库 c302/data/herm_full_edgelist.csv（MIT License），
"#     = Cook et al. 2019, Nature 571:63-71 雌雄同体全连接组 full edge list；"
#     2026-08-25 经 api.github.com 下载（raw.githubusercontent 沙箱不可达）。
#   - 交叉核对: SI5_adjacency.xlsx（Cook 2019 官方 SI5 邻接矩阵，逐对一致）；
#     networks.skewed.de celegans_2019 官方 synapse list（node_type 分类源）；
#     aconnectome_white_1986_whole.csv（White 1986 数字化，对照）；
#     owmeta_cache.json（OpenWorm 302 神经元 class+neurotransmitter 标注，
#     源自 Pereira 2015 / Serrano-Saiz 2013 等文献编译）。
#   - 计数诚实性（预注册 §0 #5）：权威数据为唯一计数源，不得为过 Pass 改动；
#     本文件含真实连接组全部神经元-神经元化学/缝隙连接（含自连接，白名单保留）。
#   - 计数语义：化学突触行=神经元间有向连接对（Weight=突触计数见 counts.json）；
#     缝隙行=神经元间无向唯一对（多重连接合并）。
#   - 简化假设（详见 docs/m5_env_notes.md L7+）：AIY 实际递质=ach（M4 以 GABA 简化，差异记录）；
#     AVM 规范分类=inter（Cook=sensory）；真实体壁肌肉→虚拟 4 通道聚合；
#     DD/VD（GABA 能）/VC/HSN（性特异）/RME 不产生 muscle_drive 行。
role,neuron_class,neurotransmitter,receptor,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,g_gap_ns,muscle_target,note
,,ach,ampa,PVCR,PVCL,chem,5.00,0.50,,,
,,ach,ampa,PVCR,PVDL,chem,5.00,0.50,,,
,,ach,ampa,PVCR,PVDR,chem,5.00,0.50,,,
,,ach,ampa,PVCR,PVPR,chem,5.00,0.50,,,
,,ach,ampa,PVCR,PVR,chem,5.00,0.50,,,
,,ach,ampa,PVCR,PVWR,chem,5.00,0.50,,,
,,ach,ampa,PVCR,RID,chem,5.00,0.50,,,
,,ach,ampa,PVCR,SIBVR,chem,5.00,0.50,,,
,,ach,ampa,PVCR,VB11,chem,5.00,0.50,,,
,,ach,ampa,PVCR,VB3,chem,5.00,0.50,,,
,,ach,ampa,PVCR,VB4,chem,5.00,0.50,,,
,,ach,ampa,PVCR,VB6,chem,5.00,0.50,,,
,,glut,ampa,PVDL,AVAL,chem,5.00,0.50,,,
,,glut,ampa,PVDL,AVAR,chem,5.00,0.50,,,
,,glut,ampa,PVDL,AVDL,chem,5.00,0.50,,,
,,glut,ampa,PVDL,AVDR,chem,5.00,0.50,,,
,,glut,ampa,PVDL,AVFL,chem,5.00,0.50,,,
,,glut,ampa,PVDL,AVG,chem,5.00,0.50,,,
,,glut,ampa,PVDL,DD5,chem,5.00,0.50,,,
,,glut,ampa,PVDL,PVCL,chem,5.00,0.50,,,
,,glut,ampa,PVDL,PVCR,chem,5.00,0.50,,,
,,glut,ampa,PVDL,PVDR,chem,5.00,0.50,,,
,,glut,ampa,PVDL,PVPL,chem,5.00,0.50,,,
,,glut,ampa,PVDL,VD10,chem,5.00,0.50,,,
,,glut,ampa,PVDR,AVAL,chem,5.00,0.50,,,
,,glut,ampa,PVDR,AVAR,chem,5.00,0.50,,,
,,glut,ampa,PVDR,AVDL,chem,5.00,0.50,,,
,,glut,ampa,PVDR,DVA,chem,5.00,0.50,,,
,,glut,ampa,PVDR,PVCL,chem,5.00,0.50,,,
,,glut,ampa,PVDR,PVCR,chem,5.00,0.50,,,
,,glut,ampa,PVDR,PVDL,chem,5.00,0.50,,,
,,glut,ampa,PVDR,VA12,chem,5.00,0.50,,,
,,glut,ampa,PVDR,VA9,chem,5.00,0.50,,,
,,glut,ampa,PVDR,VB5,chem,5.00,0.50,,,
,,glut,ampa,PVDR,VB6,chem,5.00,0.50,,,
,,glut,ampa,PVM,AVKL,chem,5.00,0.50,,,
,,glut,ampa,PVM,AVM,chem,5.00,0.50,,,
,,glut,ampa,PVM,DVA,chem,5.00,0.50,,,
,,glut,ampa,PVM,PVCL,chem,5.00,0.50,,,
,,glut,ampa,PVM,PVCR,chem,5.00,0.50,,,
,,glut,ampa,PVM,PVR,chem,5.00,0.50,,,
,,other,none,PVNL,AVAL,chem,0.00,0.50,,,
,,other,none,PVNL,AVBR,chem,0.00,0.50,,,
,,other,none,PVNL,AVDL,chem,0.00,0.50,,,
,,other,none,PVNL,AVDR,chem,0.00,0.50,,,
,,other,none,PVNL,AVG,chem,0.00,0.50,,,
,,other,none,PVNL,AVJL,chem,0.00,0.50,,,
,,other,none,PVNL,AVJR,chem,0.00,0.50,,,
,,other,none,PVNL,AVL,chem,0.00,0.50,,,
,,other,none,PVNL,BDUL,chem,0.00,0.50,,,
,,other,none,PVNL,BDUR,chem,0.00,0.50,,,
,,other,none,PVNL,DD1,chem,0.00,0.50,,,
,,other,none,PVNL,LUAL,chem,0.00,0.50,,,
,,other,none,PVNL,PQR,chem,0.00,0.50,,,
,,other,none,PVNL,PVCL,chem,0.00,0.50,,,
,,other,none,PVNL,PVDL,chem,0.00,0.50,,,
,,other,none,PVNL,PVNR,chem,0.00,0.50,,,
,,other,none,PVNL,PVPR,chem,0.00,0.50,,,
,,other,none,PVNL,PVT,chem,0.00,0.50,,,
,,other,none,PVNL,PVWL,chem,0.00,0.50,,,
,,other,none,PVNL,PVWR,chem,0.00,0.50,,,
,,other,none,PVNL,VA12,chem,0.00,0.50,,,
,,other,none,PVNL,VD12,chem,0.00,0.50,,,
,,other,none,PVNR,ALML,chem,0.00,0.50,,,
,,other,none,PVNR,AVAL,chem,0.00,0.50,,,
,,other,none,PVNR,AVBR,chem,0.00,0.50,,,
,,other,none,PVNR,AVDL,chem,0.00,0.50,,,
,,other,none,PVNR,AVDR,chem,0.00,0.50,,,
,,other,none,PVNR,AVEL,chem,0.00,0.50,,,
,,other,none,PVNR,AVJL,chem,0.00,0.50,,,
,,other,none,PVNR,AVJR,chem,0.00,0.50,,,
,,other,none,PVNR,AVL,chem,0.00,0.50,,,
,,other,none,PVNR,BDUL,chem,0.00,0.50,,,
,,other,none,PVNR,CEPDL,chem,0.00,0.50,,,
,,other,none,PVNR,DB3,chem,0.00,0.50,,,
,,other,none,PVNR,DD2,chem,0.00,0.50,,,
,,other,none,PVNR,HSNR,chem,0.00,0.50,,,
,,other,none,PVNR,PQR,chem,0.00,0.50,,,
,,other,none,PVNR,PVCR,chem,0.00,0.50,,,
,,other,none,PVNR,PVDR,chem,0.00,0.50,,,
,,other,none,PVNR,PVNR,chem,0.00,0.50,,,自连接（真实连接组存在，白名单保留，不静默删除）
,,other,none,PVNR,PVR,chem,0.00,0.50,,,
,,other,none,PVNR,PVT,chem,0.00,0.50,,,
,,other,none,PVNR,PVWL,chem,0.00,0.50,,,
,,other,none,PVNR,PVWR,chem,0.00,0.50,,,
,,other,none,PVNR,URBL,chem,0.00,0.50,,,
,,other,none,PVNR,URXL,chem,0.00,0.50,,,
,,other,none,PVNR,VA11,chem,0.00,0.50,,,
,,other,none,PVNR,VA6,chem,0.00,0.50,,,
,,other,none,PVNR,VC2,chem,0.00,0.50,,,
,,other,none,PVNR,VD13,chem,0.00,0.50,,,
,,other,none,PVNR,VD3,chem,0.00,0.50,,,
,,other,none,PVNR,VD4,chem,0.00,0.50,,,
,,other,none,PVNR,VD6,chem,0.00,0.50,,,
,,other,none,PVNR,VD7,chem,0.00,0.50,,,
,,ach,ampa,PVPL,ADAL,chem,5.00,0.50,,,
,,ach,ampa,PVPL,AQR,chem,5.00,0.50,,,
,,ach,ampa,PVPL,AVAL,chem,5.00,0.50,,,
,,ach,ampa,PVPL,AVAR,chem,5.00,0.50,,,
,,ach,ampa,PVPL,AVBL,chem,5.00,0.50,,,
,,ach,ampa,PVPL,AVBR,chem,5.00,0.50,,,
,,ach,ampa,PVPL,AVDR,chem,5.00,0.50,,,
,,ach,ampa,PVPL,AVHR,chem,5.00,0.50,,,
,,ach,ampa,PVPL,PVCL,chem,5.00,0.50,,,
,,ach,ampa,PVPL,PVCR,chem,5.00,0.50,,,
,,ach,ampa,PVPL,PVDL,chem,5.00,0.50,,,
,,ach,ampa,PVPL,RIGL,chem,5.00,0.50,,,
,,ach,ampa,PVPL,RIR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,ADFR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AQR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,ASHR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AVAL,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AVAR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AVBL,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AVBR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AVG,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AVHL,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AVJL,chem,5.00,0.50,,,
,,ach,ampa,PVPR,AVL,chem,5.00,0.50,,,
,,ach,ampa,PVPR,DD2,chem,5.00,0.50,,,
,,ach,ampa,PVPR,DVC,chem,5.00,0.50,,,
,,ach,ampa,PVPR,HSNR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,PVCL,chem,5.00,0.50,,,
,,ach,ampa,PVPR,PVCR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,PVQR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,RIAR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,RIGR,chem,5.00,0.50,,,
,,ach,ampa,PVPR,URXR,chem,5.00,0.50,,,
,,glut,ampa,PVQL,AIAL,chem,5.00,0.50,,,
,,glut,ampa,PVQL,ASJL,chem,5.00,0.50,,,
,,glut,ampa,PVQL,ASKL,chem,5.00,0.50,,,
,,glut,ampa,PVQL,AVHR,chem,5.00,0.50,,,
,,glut,ampa,PVQL,AWAL,chem,5.00,0.50,,,
,,glut,ampa,PVQL,DA8,chem,5.00,0.50,,,
,,glut,ampa,PVQL,DD6,chem,5.00,0.50,,,
,,glut,ampa,PVQL,HSNL,chem,5.00,0.50,,,
,,glut,ampa,PVQL,HSNR,chem,5.00,0.50,,,
,,glut,ampa,PVQL,PVPL,chem,5.00,0.50,,,
,,glut,ampa,PVQL,RMGL,chem,5.00,0.50,,,
,,glut,ampa,PVQR,AIAL,chem,5.00,0.50,,,
,,glut,ampa,PVQR,AIAR,chem,5.00,0.50,,,
,,glut,ampa,PVQR,AIMR,chem,5.00,0.50,,,
,,glut,ampa,PVQR,ASER,chem,5.00,0.50,,,
,,glut,ampa,PVQR,ASJL,chem,5.00,0.50,,,
,,glut,ampa,PVQR,ASKR,chem,5.00,0.50,,,
,,glut,ampa,PVQR,AVBR,chem,5.00,0.50,,,
,,glut,ampa,PVQR,AVFR,chem,5.00,0.50,,,
,,glut,ampa,PVQR,AVL,chem,5.00,0.50,,,
,,glut,ampa,PVQR,AWAR,chem,5.00,0.50,,,
,,glut,ampa,PVQR,DD1,chem,5.00,0.50,,,
,,glut,ampa,PVQR,DD6,chem,5.00,0.50,,,
,,glut,ampa,PVQR,RIFR,chem,5.00,0.50,,,
,,glut,ampa,PVQR,RMGR,chem,5.00,0.50,,,
,,glut,ampa,PVQR,VC2,chem,5.00,0.50,,,
,,glut,ampa,PVQR,VD1,chem,5.00,0.50,,,
,,glut,ampa,PVR,ADAR,chem,5.00,0.50,,,
,,glut,ampa,PVR,ALMR,chem,5.00,0.50,,,
,,glut,ampa,PVR,AVBL,chem,5.00,0.50,,,
,,glut,ampa,PVR,AVBR,chem,5.00,0.50,,,
,,glut,ampa,PVR,AVJL,chem,5.00,0.50,,,
,,glut,ampa,PVR,AVJR,chem,5.00,0.50,,,
,,glut,ampa,PVR,AVKL,chem,5.00,0.50,,,
,,glut,ampa,PVR,CEPVR,chem,5.00,0.50,,,
,,glut,ampa,PVR,DA5,chem,5.00,0.50,,,
,,glut,ampa,PVR,DA9,chem,5.00,0.50,,,
,,glut,ampa,PVR,DB2,chem,5.00,0.50,,,
,,glut,ampa,PVR,DB3,chem,5.00,0.50,,,
,,glut,ampa,PVR,DB4,chem,5.00,0.50,,,
,,glut,ampa,PVR,DB7,chem,5.00,0.50,,,
,,glut,ampa,PVR,DVA,chem,5.00,0.50,,,
,,glut,ampa,PVR,IL1DR,chem,5.00,0.50,,,
,,glut,ampa,PVR,IL1VL,chem,5.00,0.50,,,
,,glut,ampa,PVR,IL1VR,chem,5.00,0.50,,,
,,glut,ampa,PVR,PVCL,chem,5.00,0.50,,,
,,glut,ampa,PVR,PVM,chem,5.00,0.50,,,
,,glut,ampa,PVR,PVR,chem,5.00,0.50,,,自连接（真实连接组存在，白名单保留，不静默删除）
,,glut,ampa,PVR,RIPL,chem,5.00,0.50,,,
,,glut,ampa,PVR,RIPR,chem,5.00,0.50,,,
,,glut,ampa,PVR,SABD,chem,5.00,0.50,,,
,,glut,ampa,PVR,SDQR,chem,5.00,0.50,,,
,,glut,ampa,PVR,URADL,chem,5.00,0.50,,,
,,glut,ampa,PVR,VB3,chem,5.00,0.50,,,
,,other,none,PVT,AIBL,chem,0.00,0.50,,,
,,other,none,PVT,AIBR,chem,0.00,0.50,,,
,,other,none,PVT,AVKL,chem,0.00,0.50,,,
,,other,none,PVT,AVKR,chem,0.00,0.50,,,
,,other,none,PVT,AVL,chem,0.00,0.50,,,
,,other,none,PVT,DVC,chem,0.00,0.50,,,
,,other,none,PVT,RIGL,chem,0.00,0.50,,,
,,other,none,PVT,RIGR,chem,0.00,0.50,,,
,,other,none,PVT,RIH,chem,0.00,0.50,,,
,,other,none,PVT,RIS,chem,0.00,0.50,,,
,,other,none,PVT,RMEV,chem,0.00,0.50,,,
,,other,none,PVT,RMFL,chem,0.00,0.50,,,
,,other,none,PVT,RMFR,chem,0.00,0.50,,,
,,ach,ampa,PVWL,PVCL,chem,5.00,0.50,,,
,,ach,ampa,PVWL,PVCR,chem,5.00,0.50,,,
,,ach,ampa,PVWL,PVT,chem,5.00,0.50,,,
,,ach,ampa,PVWL,PVWR,chem,5.00,0.50,,,
,,ach,ampa,PVWL,VD12,chem,5.00,0.50,,,
,,ach,ampa,PVWR,AVAR,chem,5.00,0.50,,,
,,ach,ampa,PVWR,AVDR,chem,5.00,0.50,,,
,,ach,ampa,PVWR,LUAR,chem,5.00,0.50,,,
,,ach,ampa,PVWR,VA12,chem,5.00,0.50,,,
,,glut,ampa,RIAL,AIZL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,AQR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,AVAL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,BAGR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,CEPDL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RIAR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RIBL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RIML,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RIMR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RIR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RIVL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RIVR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RMDDL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RMDDR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RMDL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RMDR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RMDVL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,RMDVR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,SAADL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,SIADL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,SIAVR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,SMBDR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,SMDDL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,SMDDR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,SMDVL,chem,5.00,0.50,,,
,,glut,ampa,RIAL,SMDVR,chem,5.00,0.50,,,
,,glut,ampa,RIAL,URXL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,ADFR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,AUAR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,AVAR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,CEPVL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,CEPVR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,IL1R,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RIAL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RIAR,chem,5.00,0.50,,,自连接（真实连接组存在，白名单保留，不静默删除）
,,glut,ampa,RIAR,RIBR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RIVL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RIVR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RMDDL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RMDDR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RMDL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RMDR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RMDVL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,RMDVR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SAADR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SIADR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SIAVL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SMBDR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SMBVR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SMDDL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SMDDR,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SMDVL,chem,5.00,0.50,,,
,,glut,ampa,RIAR,SMDVR,chem,5.00,0.50,,,
,,other,none,RIBL,AIBR,chem,0.00,0.50,,,
,,other,none,RIBL,AUAL,chem,0.00,0.50,,,
,,other,none,RIBL,AVAL,chem,0.00,0.50,,,
,,other,none,RIBL,AVBR,chem,0.00,0.50,,,
,,other,none,RIBL,AVDR,chem,0.00,0.50,,,
,,other,none,RIBL,AVEL,chem,0.00,0.50,,,
,,other,none,RIBL,AVER,chem,0.00,0.50,,,
,,other,none,RIBL,BAGR,chem,0.00,0.50,,,
,,other,none,RIBL,CEPVL,chem,0.00,0.50,,,
,,other,none,RIBL,DVC,chem,0.00,0.50,,,
,,other,none,RIBL,RIAL,chem,0.00,0.50,,,
,,other,none,RIBL,RIGL,chem,0.00,0.50,,,
,,other,none,RIBL,RIML,chem,0.00,0.50,,,
,,other,none,RIBL,RIS,chem,0.00,0.50,,,
,,other,none,RIBL,RMDR,chem,0.00,0.50,,,
,,other,none,RIBL,SMDVR,chem,0.00,0.50,,,
,,other,none,RIBL,URYDL,chem,0.00,0.50,,,
,,other,none,RIBR,AIBL,chem,0.00,0.50,,,
,,other,none,RIBR,AINL,chem,0.00,0.50,,,
,,other,none,RIBR,AIZR,chem,0.00,0.50,,,
,,other,none,RIBR,AUAR,chem,0.00,0.50,,,
,,other,none,RIBR,AVAR,chem,0.00,0.50,,,
,,other,none,RIBR,AVBL,chem,0.00,0.50,,,
,,other,none,RIBR,AVEL,chem,0.00,0.50,,,
,,other,none,RIBR,AVER,chem,0.00,0.50,,,
,,other,none,RIBR,BAGL,chem,0.00,0.50,,,
,,other,none,RIBR,OLLR,chem,0.00,0.50,,,
,,other,none,RIBR,RIAR,chem,0.00,0.50,,,
,,other,none,RIBR,RIGR,chem,0.00,0.50,,,
,,other,none,RIBR,RIH,chem,0.00,0.50,,,
,,other,none,RIBR,RIS,chem,0.00,0.50,,,
,,other,none,RIBR,RMDVR,chem,0.00,0.50,,,
,,other,none,RIBR,RMED,chem,0.00,0.50,,,
,,other,none,RIBR,SMDDL,chem,0.00,0.50,,,
,,other,none,RIBR,SMDVL,chem,0.00,0.50,,,
,,other,none,RIBR,SMDVR,chem,0.00,0.50,,,
,,other,none,RIBR,URYVR,chem,0.00,0.50,,,
,,other,none,RICL,ADAL,chem,0.00,0.50,,,
,,other,none,RICL,ADAR,chem,0.00,0.50,,,
,,other,none,RICL,ADLR,chem,0.00,0.50,,,
,,other,none,RICL,AVAL,chem,0.00,0.50,,,
,,other,none,RICL,AVAR,chem,0.00,0.50,,,
,,other,none,RICL,CEPDL,chem,0.00,0.50,,,
,,other,none,RICL,CEPVL,chem,0.00,0.50,,,
,,other,none,RICL,OLQVL,chem,0.00,0.50,,,
,,other,none,RICL,RICR,chem,0.00,0.50,,,
,,other,none,RICL,RIML,chem,0.00,0.50,,,
,,other,none,RICL,RIMR,chem,0.00,0.50,,,
,,other,none,RICL,RIVR,chem,0.00,0.50,,,
,,other,none,RICL,RMFR,chem,0.00,0.50,,,
,,other,none,RICL,SAAVL,chem,0.00,0.50,,,
,,other,none,RICL,SMBDL,chem,0.00,0.50,,,
,,other,none,RICL,SMBDR,chem,0.00,0.50,,,
,,other,none,RICL,SMDDL,chem,0.00,0.50,,,
,,other,none,RICL,SMDDR,chem,0.00,0.50,,,
,,other,none,RICL,SMDVR,chem,0.00,0.50,,,
,,other,none,RICL,URBR,chem,0.00,0.50,,,
,,other,none,RICR,ADAR,chem,0.00,0.50,,,
,,other,none,RICR,AIBL,chem,0.00,0.50,,,
,,other,none,RICR,AIBR,chem,0.00,0.50,,,
,,other,none,RICR,AIZL,chem,0.00,0.50,,,
,,other,none,RICR,AVAL,chem,0.00,0.50,,,
,,other,none,RICR,AVAR,chem,0.00,0.50,,,
,,other,none,RICR,AVKR,chem,0.00,0.50,,,
,,other,none,RICR,CEPDL,chem,0.00,0.50,,,
,,other,none,RICR,CEPDR,chem,0.00,0.50,,,
,,other,none,RICR,RICL,chem,0.00,0.50,,,
,,other,none,RICR,RIML,chem,0.00,0.50,,,
,,other,none,RICR,RIMR,chem,0.00,0.50,,,
,,other,none,RICR,RIVL,chem,0.00,0.50,,,
,,other,none,RICR,RMFL,chem,0.00,0.50,,,
,,other,none,RICR,RMGL,chem,0.00,0.50,,,
,,other,none,RICR,SMBDR,chem,0.00,0.50,,,
,,other,none,RICR,SMDDL,chem,0.00,0.50,,,
,,other,none,RICR,SMDDR,chem,0.00,0.50,,,
,,other,none,RICR,SMDVL,chem,0.00,0.50,,,
,,other,none,RICR,SMDVR,chem,0.00,0.50,,,
,,other,none,RICR,URBR,chem,0.00,0.50,,,
,,other,none,RICR,VB1,chem,0.00,0.50,,,
,,other,none,RID,DA2,chem,0.00,0.50,,,
,,other,none,RID,DA6,chem,0.00,0.50,,,
,,other,none,RID,DB1,chem,0.00,0.50,,,
,,other,none,RID,DD1,chem,0.00,0.50,,,
,,other,none,RID,DD2,chem,0.00,0.50,,,
,,other,none,RID,FLPL,chem,0.00,0.50,,,
,,other,none,RID,RMED,chem,0.00,0.50,,,
,,other,none,RID,VD5,chem,0.00,0.50,,,
,,other,none,RIFL,ALML,chem,0.00,0.50,,,
,,other,none,RIFL,AVBL,chem,0.00,0.50,,,
,,other,none,RIFL,AVBR,chem,0.00,0.50,,,
,,other,none,RIFL,AVHR,chem,0.00,0.50,,,
,,other,none,RIFL,AVJR,chem,0.00,0.50,,,
,,other,none,RIFL,PVPL,chem,0.00,0.50,,,
,,other,none,RIFL,RIML,chem,0.00,0.50,,,
,,other,none,RIFR,ADLR,chem,0.00,0.50,,,
,,other,none,RIFR,AIZL,chem,0.00,0.50,,,
,,other,none,RIFR,ASHR,chem,0.00,0.50,,,
,,other,none,RIFR,AVBL,chem,0.00,0.50,,,
,,other,none,RIFR,AVBR,chem,0.00,0.50,,,
,,other,none,RIFR,AVFL,chem,0.00,0.50,,,
,,other,none,RIFR,AVJL,chem,0.00,0.50,,,
,,other,none,RIFR,AVJR,chem,0.00,0.50,,,
,,other,none,RIFR,AWBR,chem,0.00,0.50,,,
,,other,none,RIFR,CEPVR,chem,0.00,0.50,,,
,,other,none,RIFR,HSNL,chem,0.00,0.50,,,
,,other,none,RIFR,HSNR,chem,0.00,0.50,,,
,,other,none,RIFR,PVCL,chem,0.00,0.50,,,
,,other,none,RIFR,PVCR,chem,0.00,0.50,,,
,,other,none,RIFR,PVPR,chem,0.00,0.50,,,
,,other,none,RIFR,RIAR,chem,0.00,0.50,,,
,,other,none,RIFR,RIFL,chem,0.00,0.50,,,
,,other,none,RIFR,RIMR,chem,0.00,0.50,,,
,,other,none,RIFR,RIPR,chem,0.00,0.50,,,
,,other,none,RIFR,URXR,chem,0.00,0.50,,,
,,glut,ampa,RIGL,ADFL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,ADLL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,AIBR,chem,5.00,0.50,,,
,,glut,ampa,RIGL,AIZL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,AIZR,chem,5.00,0.50,,,
,,glut,ampa,RIGL,ALNL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,AVEL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,AVER,chem,5.00,0.50,,,
,,glut,ampa,RIGL,AVKR,chem,5.00,0.50,,,
,,glut,ampa,RIGL,BAGR,chem,5.00,0.50,,,
,,glut,ampa,RIGL,DVA,chem,5.00,0.50,,,
,,glut,ampa,RIGL,OLQVL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,PVPL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,RIBL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,RIH,chem,5.00,0.50,,,
,,glut,ampa,RIGL,RIR,chem,5.00,0.50,,,
,,glut,ampa,RIGL,RMGL,chem,5.00,0.50,,,
,,glut,ampa,RIGL,RMHR,chem,5.00,0.50,,,
,,glut,ampa,RIGL,URXL,chem,5.00,0.50,,,
,,glut,ampa,RIGR,AFDR,chem,5.00,0.50,,,
,,glut,ampa,RIGR,AIBL,chem,5.00,0.50,,,
,,glut,ampa,RIGR,AIZR,chem,5.00,0.50,,,
,,glut,ampa,RIGR,ALNR,chem,5.00,0.50,,,
,,glut,ampa,RIGR,AVDL,chem,5.00,0.50,,,
,,glut,ampa,RIGR,AVER,chem,5.00,0.50,,,
,,glut,ampa,RIGR,AVKL,chem,5.00,0.50,,,
,,glut,ampa,RIGR,AVKR,chem,5.00,0.50,,,
,,glut,ampa,RIGR,BAGL,chem,5.00,0.50,,,
,,glut,ampa,RIGR,DVA,chem,5.00,0.50,,,
,,glut,ampa,RIGR,DVC,chem,5.00,0.50,,,
,,glut,ampa,RIGR,OLQVR,chem,5.00,0.50,,,
,,glut,ampa,RIGR,PVT,chem,5.00,0.50,,,
,,glut,ampa,RIGR,RIAR,chem,5.00,0.50,,,
